year,type,crab_ca,crab_or,barnacle_ca,barnacle_or
2001,recruit,3,1,15,20
2002,recruit,15,22,16,12
2003,recruit,28,19,13,15
2004,recruit,19,2,14,22
2005,recruit,25,14,15,10
2006,recruit,23,8,8,19
2007,recruit,28,30,11,14
2008,recruit,17,24,10,13
2009,recruit,10,8,8,9
2010,recruit,6,30,12,9
2011,recruit,22,12,5,18
2012,recruit,33,24,5,13
2013,recruit,30,32,11,11
2014,recruit,30,13,5,3
2015,recruit,32,20,4,18
2016,recruit,30,10,3,8
2017,recruit,1,25,9,5
2018,recruit,12,13,10,3
2019,recruit,28,19,4,13
2000,adult,13,1,41,28
2001,adult,17,5,38,18
2002,adult,15,13,37,28
2003,adult,16,7,42,37
2004,adult,14,29,42,38
2005,adult,20,32,39,33
2006,adult,18,18,37,28
2007,adult,16,36,35,28
2008,adult,20,36,35,34
2009,adult,18,39,31,35
2010,adult,18,10,39,30
2011,adult,17,22,31,17
2012,adult,17,18,33,21
2013,adult,17,23,34,28
2014,adult,17,22,32,33
2015,adult,23,14,31,32
2016,adult,18,40,32,21
2017,adult,19,36,34,15
2018,adult,23,27,27,20
2019,adult,19,43,28,30
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
